text,language,emotions
"क्या यहाँ वकील के तमाम विवरण मिल जाएँगे, वरना कल ब्रॉडवे जाकर जमा कर दूँगा।",hi,others
"सामाजिक बहिष्कार में आ गए हैं, कपड़ा नहीं मिलता, अब ज़िंदा रहना मुश्किल हो गया है।",hi,"hopelessness,sadness"
"थाने में जाएँ तो चाय पीते हैं, एफआईआर दर्ज न करवाएँ, यह जो कानून है वह सिर्फ़ अमीरों के लिए है।",hi,"anger,help_seeking"
"हमारे खेत की सीमा पर पत्थर चढ़ाए, अब कोई चेतावनी देकर नहीं, बल्कि सीधे हमला कर रहे हैं।",hi,"immediate_danger,anger,fear"
"मैंने कल कॉल किया था, फाइल नंबर 1234 का क्या स्थिति है, कोई जल्दी नहीं है बस सूचना चाहिए।",hi,others
"प्रधान ने हमारी जात के लोग हटा दिए, अब खेत का रास्ता रोक दिया है, अब हम क्या करेंगे।",hi,"intimidation,anger"
"हमारे घर के सामने स्टोनथ्रोइंग हो रहा है, लोग खौफ़ में हैं, अब मौत के मुँह में हैं।",hi,"fear,immediate_danger,panic"
"क्या यहाँ फाइल की कॉपी मिल जाएगी, वरना कल फोन कर दूँगा।",hi,others
"मेरे पिताजी को ज़मीन के कारण धमकी मिली है, अब कोई काम नहीं कर पा रहे, घर में मोहल्ला-नहीं।",hi,"intimidation,fear,help_seeking"
"हमारी बस्ती में लाइट गुल है, अब रात में निकलना मुश्किल, ये लोग रोशनी क्यों बंद करते हैं।",hi,"fear,help_seeking"
"सर, मैंने यह नंबर देखा था, क्या यह सही है, वरना मुझे कोई जल्दी नहीं है।",hi,others
"PoA relief fund ka paise 6 mahine se late hai, bank se bohot baar pucha hai par koi jawab nahi, humare ghar ka kharcha nahi ho raha.",hinglish,"help_seeking,others"
"Thanedhar ji FIR nahi likha rahe hue, kehte hain 'shanti karo', par unhone meri aankhein maari hain aur dhamki di hai case wapas lene ki, ab ghar pe bhi darr se jaag nahi sakte.",hinglish,"fear,intimidation,panic"
"Hamari ladki ki scholarship ka online status 'pending' hai abhi bhi, admission par kya karein, koi follow-up number nahi milta office se.",hinglish,"help_seeking,others"
"Gaon ke choupar pe jate hi unhone humein 'bhangi' kehte hue pattiyaan phainki, isliye ab bacchon ko school nahi bhej sakte, bahut beizzati hui hai.",hinglish,"anger,sadness,fear"
"Medical examination report police station mein hi pade hai 2 hafte se, doctor ne signature nahi kiya, ab hospital se nikaal loge kya?",hinglish,"panic,help_seeking"
"Humare tola ki saray ka drainage kharab hai, baarish mein paani ghar mein aa raha hai, panchayat wale karte hain shabash par.",hinglish,"others,anger"
"Unhone hamare khali khan ke paas aake daru pe karke galli-galouch ki aur yahan se jaane se roka, ab unke logon ka society mein bahishkar ho raha hai.",hinglish,"fear,intimidation,sadness"
"False FIR humare papa ke khilaf file ki hai bas isliye kyunki humne unki bheemiya roke mein jagah di thi, ab jail ke dar se sote nahi hain.",hinglish,"fear,panic,hopelessness"
"Legal aid lawyer ka phone baar baar band hai, court ki date 2 din baad hai aur humein kya jawaab dena hai wo nahi pata.",hinglish,"panic,help_seeking"
"Temple ke aangan mein ghoomne se mana kiya gaya, gauron ke bachche bhi humein chamke hue dekh rahe the, dil behad dard kar raha hai.",hinglish,"sadness,anger"
"Compensation portal par amount nahi aaya, jab bank mein pucha toh kehte hain 'frozen', koi kisi se baat nahi karta, hum khali duniya mein hain.",hinglish,"hopelessness,anger,others"
"Pichli docket number 204 par koi update nahi, bas bata do ki case chalu hai ya nahi, hum subah se saans rukhi hui hai.",hinglish,"help_seeking,others"
"Unhone kehte hain ki agar tu appeal karega toh teri shaadi tod denge, ab shaadi mein jana nahi chahta darr se.",hinglish,"intimidation,fear"
"Hamari girl friend ko unhone handpump paas se hata kar bithaya, usne rote hue keha ki wo yahan nahi rukkar paati, humein bhi sarkar se madad chahiye.",hinglish,"sadness,anger,help_seeking"
"Beti ki umar 16 saal hai, abhi se unhone uski shaadi ke liye dhamki dene lagi hain, aggar mana kiya toh ghar jalayenge kahte hain.",hinglish,"fear,intimidation,panic"
"Village road ki repair ke liye 3 mahine se letter chala raha hai, par abhi tak koi aaya nahi, zameen par girke girne se bach nahi pa rahe.",hinglish,"others,anger"
"बापूजी, अब ही तीन-चार दबंग हमारी खिड़की के बाहर खड़े हैं और पत्थर फेंक रहे हैं, दरवाजा अंदर से बंद है और हम डरे हुए हैं, तुरंत पुलिस भेजो नहीं तो जान से मार देंगे।",hi,"fear,panic,immediate_danger,help_seeking"
"थानेदार ने कार्रवाई से इनकार कर दिया है और कहा है कि वह जाति से जुड़ा मामला नहीं है, अब हमारा गुस्सा बहुत बढ़ गया है क्योंकि वे हमारी बेइज्जत से प्यार करते हैं।",hi,anger
"न्याय मंत्री जी, मेरी पिछली शिकायत नंबर 14566 के तहत 15 दिन से लंबित है, कोई फ़ोन नहीं आया और न ही कोई जवाब मिला, कृपया स्थिति की जानकारी दें।",hi,others
"हमारे टोले के बाहर रोज़ शाम को दारू पीकर गाली-गलौज होता है और हमारी औरतों को घेरकर खड़े रहते हैं, थानेदार सुनता ही नहीं, अब हम डरे हुए हैं।",hi,"fear,intimidation"
"सच कहूं तो अब और उम्मीद नहीं रही, बार-बार एफआईआर दर्ज कराने गए लेकिन कागज़ फाड़ दिया गया, अब क्या करें?",hi,"hopelessness,sadness"
"उस समय फ़ोनों पर धमकी दी गई कि रात में घर में आकर सबको मार डालेंगे, अब हम पूरा परिवार डरे हुए हैं और रात को खुलकर सो नहीं पा रहे हैं।",hi,"fear,intimidation,panic"
"कुएं के पानी का इस्तेमाल करने की अनुमति नहीं दे रहे हैं और धमका रहे हैं कि यदि कोशिश की तो पानी में डूबे देंगे, यह सामाजिक बहिष्कार अब जान लेने तक जा रहा है।",hi,"intimidation,fear,anger"
"पिछले महीने बारिश में खेत का रास्ता बह गया, फिर भी इलाके के बाबू जी नलियां नहीं खुलवा रहे हैं, इसलिए खलिहान तक नहीं जा पा रहे।",hi,others
"मैं बहुत डरा हुआ फ़ोन कर रहा हूं, अभी ही एक भीड़ हमारी बस्ती की ओर बढ़ रही है जिसके हाथ में लोहे की सलाखें हैं।",hi,"panic,immediate_danger,fear"
"एफआईआर दर्ज होने के बाद भी पुलिस धीमी कार्रवाई कर रही है और आरोपी को छुड़ा रही है, यह बड़ी नाराजगी की बात है।",hi,anger
"स्कॉलरशिप का पैसा तीन महीने से नहीं आया है और कॉलेज में फिर से आगे नहीं बढ़ा सकते हैं, कोई मदद संभव है?",hi,others
"हमारे घर के आस-पास खेत में उनकी धरना प्रदर्शन की वजह से हमारा खेत बर्बाद हो गया, लेकिन पुलिस ने उन्हें रोकना ही नहीं चाहा।",hi,"anger,hopelessness"
"सोचिए, हमारी औरतों को सरेआम बेइज्जत किया गया और पुलिस ने तुरंत एफआईआर दर्ज नहीं की, इससे हमारी ज़िंदगी तबह हो गई है।",hi,"anger,sadness"
मैं फ़ोन कर रही हूं क्योंकि अभी ही मोटरसाइकिल पर बैठे चार लड़के हमारे घर के बाहर घूम रहे हैं और खतरे की धमकियां दे रहे हैं।,hi,"fear,panic,help_seeking"
"पूर्व शिकायत के ट्रैकिंग नंबर 123456 पर कोई अपडेट नहीं मिला है, क्या यह मामला कानून के तहत निपटाया जा रहा है?",hi,others
"हम डरे हुए हैं और रो रहे हैं, साहूकार ने हमारी ज़मीन का पट्टा छीनने की धमकी दी है और बता रहा है कि रोज़ कॉर्टर लाएगा।",hi,"fear,intimidation,sadness"
"Sir, main chahata hoon ki meri docket number 2231 ka status check kar diya jaye, kya hearing fix ho chuki hai?",hinglish,"help_seeking,others"
"Thanedhar ne kaha ki bina drinking water ka masla solve kiye FIR nahi likhenge, hum log abha tak pyasa hain.",hinglish,"anger,hopelessness"
"Kheti ka kacha kaatne ke chakkar mein unhone hamare ghar ke saamne khadi gaadi mein baithkar gande comments kiye, ab darr lag raha hai.",hinglish,"fear,intimidation"
"Barber se baal katwane gaye toh nehi kiya, bola hai ki tum logon ki khushi se nahi katunga, poora gaon boykot kar chuka hai.",hinglish,"sadness,hopelessness"
Kya 14566 office kal Sunday ko khula hai? Mujhe koi legal aid documents dene hain.,hinglish,"help_seeking,others"
"DSP ji ne 5 din se phone uthaya hi nahi, while police ne sirf daroga ke through message bheja hai ki compromise karo.",hinglish,"anger,hopelessness"
"Hamare bachche school mein seat par nahi baitha ja raha, teacher se lekar principal tak sab unki chakkar mein kharch ho chuke hain.",hinglish,"sadness,fear"
"Dara dhamkiyan mil rahi hain ki agar case wapas nahi liya toh raat ko ghar mein aag laga denge, family bohot scare hai.",hinglish,"fear,intimidation,panic"
"Mere pita ji ka patta dubara kar diya gaya hai, system mein naam hi nahi hai, koi kaam nahi ho raha hai.",hinglish,"anger,hopelessness"
Kya main apna complaint register karwane ke liye bina police station jaaye yahan se document submit kar sakta hoon?,hinglish,"help_seeking,others"
"Chauपाल par logon ne kaha ki agar humne apni madad maangi toh poora gaun humara buniyaad wala kaat dega, ab kaise zinda rahein?",hinglish,"fear,hopelessness,sadness"
Police station ke darwaze par hi unhone complaint paper phat diya aur bola ki yahan aise logon ko koi sunta nahi hai.,hinglish,"anger,intimidation"
"Abhi kuch pal pehle hi unhone hamare ghar ke bahar dhaaril hathiyar dikha kar dhamki di hai, turant action lijiye.",hinglish,"immediate_danger,panic,fear"
"Mere case ki file police office mein hi pithi padi hai, 3 mahine se koi progress nahi hai, kya karun?",hinglish,"hopelessness,anger"
Kya legal aid ke liye kaun se specific documents chahiye hote hain? Sirf Aadhaar aur Ration card kaafi hai ya kuch aur bhi?,hinglish,"others,help_seeking"
"Unhone hamare ghar ka kuwa band kar diya hai, ab paani ke liye 5 km door jaana padta hai, itni badi yaagya kiski hai.",hinglish,"sadness,hopelessness,anger"
"बाबू जी, थाना-कचहरी में बात सुनने वाले कोई नहीं है, हम गरीब लोगन की गुहार किससे करें? वकीलों को भागीशन देने की पैसा नहीं है।",hi,"help_seeking,hopelessness"
"पंचायत में बैठक चल रही थी तो एक ने मेरे साथ पानी उतारने की गाली दी, सबके सामने शर्मसार कर दिया, अब घर में बैठकर रोना पड़ रहा है।",hi,"sadness,anger,help_seeking"
"अभी-अभी दो-तीन दबंग लठिया लेकर टोला में घुस आए हैं, कह रहे हैं अगर एफआईआर दर्ज नहीं हुई तो कुआँ मिला देंगे।",hi,"immediate_danger,fear"
"पोछा वंडर का पैसा 6 महीने से पड़ा है, कार्यालय वाला कहता है थोड़ा और रुकिए, हमें दवाइयों के लिए पैसे की ज़रूरत है।",hi,"others,help_seeking"
"रात को घर के बाहर आवाज़ें आ रही हैं, हमारे बच्चे डर के मारे सो नहीं पा रहे, कोई पुलिस मुंह नहीं लाने वाली।",hi,"fear,panic,help_seeking"
"हमारे खलिहान पर आग लगा दी गई, कचरा भी नहीं बचा, अब रोजी-रोटी का क्या होगा? इलाके वाले सब देख रहे हैं और कोई मदद नहीं कर रहा।",hi,"hopelessness,anger,fear"
"स्कॉलरशिप का पैसा अगले साल की फीस के लिए ज़रूरी है, बट्टा में कटौती कर दी है, इस बात की कार्रवाई कब तक होगी?",hi,"others,help_seeking"
"मंडी में मेरी बहन को बैलियों से नहीं खड़ा होने दिया, जिससे बेइज्जत हुई, अब वह बाहर निकलना भी नहीं चाहती।",hi,"sadness,anger,intimidation"
"लिखित शिकायत की फाइल नंबर 1234 की स्थिति बताइए, पिछले उम्मीदवार ने वादा किया था लेकिन अब नंबर बदलने लग गए हैं।",hi,others
"चारपास वाले ने कहा है कि हमारा टोला ज़मीन पर नजर नहीं आना चाहिए, हाथापाई करके हमारे घर का दरवाजा तोड़ दिया।",hi,"fear,intimidation,anger"
"हैंडपंप की मरम्मत के लिए आवेदन करवाया है, पानी की कमी से बच्चे बीमार पड़ रहे हैं, कोई जवाब नहीं मिल रहा।",hi,"help_seeking,others"
"पेट्रोल से भरकर घर पर फेंकने की धमकी दी है, अब हम अपने-आपके घर में भी सुरक्षित नहीं हैं, प्लीज मदद करो।",hi,"immediate_danger,panic,fear"
"दशहरा पर हमारा पट्टा नहीं दिया गया, उल्टे हमें बाहर निकाल दिया गया, सामाजिक बहिष्कार से ज़िंदा जले हुए लगते हैं।",hi,"sadness,hopelessness,anger"
"जब मैंने थानेदार से पूछा तो उसने कहा कि यहाँ का काम नहीं है, अब हम किससे शिकायत करें?",hi,"help_seeking,hopelessness"
"बारिश में टोले का नाला गंदा हो गया, बच्चों को स्कूल ले जाना मुश्किल हो गया है, ग्राम पंचायत की ओर से कोई कदम नहीं उठाया गया।",hi,"others,help_seeking"
"सुना है कोई जलوسा निकलने वाला है जो हमारे टोले की नाराज़गी प्रकट करेगा, मैं डरी हुई हूँ, घर में अकेली हूँ।",hi,"fear,panic,help_seeking"
"Namaste sir, 14566 helpline ke office timings kya hain? Mujhe legal aid ke liye apply karna hai, documents list chahiye.",hinglish,others
"Mera docket number 4521 hai, status check kar sakte hain? Koi update toh nahi aaya abhi tak, tension hai thodi.",hinglish,"others,help_seeking"
"Abhi abhi 30-40 dhabnge hamare ghar ke bahar aaye hain, patang hai jaan le loge, police abhi tak nahi aayi, dar se kaanp rahi hain.",hinglish,"immediate_danger,panic,fear"
"Panchayat mein humare ghar ko chhupa kar 'halal' nahi bolne diya, humiliation ke saath wahan se nikala gaya, family abhi tak darzde hai.",hinglish,"sadness,anger,help_seeking"
"Thanedar ne FIR nahi likhi, bola ho ghar pe baith jao, ab dhamki mil rahi hai case wapas lene ki, kya karun sir?",hinglish,"intimidation,anger,help_seeking"
"Mere bete ko school se nahi jaane diya, teacher ne bhi jaatisuchak gaali di, main parwarish kar raha hoon, dil toot gaya hai.",hinglish,"sadness,anger,help_seeking"
"Kaliyug chal raha hai, dhabngon ne khali zameen par hamla kiya, chappal-se maar rahe hain, police sirf dekh rahi hai, koi madad nahi kar rahi.",hinglish,"anger,fear,help_seeking"
"Sir, main jaanta nahi hoon ki SC/ST act ke under kya claim kar sakta hoon? Thoda details de dijiye calm tone mein.",hinglish,"others,help_seeking"
"Abhi ek mota dhabnga hamein gali de ke chhod gaya, humne kuch nahi kaha, bas dar gaye, ab pareshan hain.",hinglish,"fear,sadness,help_seeking"
"Hamari basti ke logon ko kuan pichne se mana kar diya gaya, bina kisi wajah ke, bas caste ke chakkar mein, humara hi toh paani hai.",hinglish,"anger,help_seeking"
"Police line mein jaakar bhi complaint nahi li gayi, baapuji ke aadmiyon se dar ke, ab kya karun? Koi batayein sudhaar kaise milega.",hinglish,"help_seeking,anger,fear"
"Mere ghar ke saamne koi insaan nahi aur, sirf dhabngon ke saath police khadi hai, hum toh khaali hain, koi sunega hi nahi.",hinglish,"hopelessness,anger"
"14566 par call karke sirf information chahiye, kya documents legal aid ke liye chahiye? Koi khaas form hai ya nahi?",hinglish,others
"Abhi abhi ek aadmi hamare ghar ke bahar khada hai, haath mein katari hai, aur galti se humein dekh liya, dar lag raha hai sir.",hinglish,"immediate_danger,fear,panic"
"Social boycott ka shor machao rahe hain baazaar mein, koi khana nahi de raha, koi rozi nahi de raha, kya karein hum?",hinglish,"help_seeking,anger,hopelessness"
"Hamein temple ke andar jaane nahi diya, wahan ke logon ne galti se humein dikhte hi makkhan daal diya, ab toh ghar mein bitha hain.",hinglish,"sadness,anger,help_seeking"
"बाबू जी, रात को दारू पीकर दबंगों ने हमारी झोपड़ी में आग लगा दी, अब हम शरमिंदे बसते हैं।",hi,"fear,panic,sadness,help_seeking"
"पट्टे का जमीन छीनने के लिए लठिया मारी गई है, हाथ टूट गया है पर थानेदार कह रहा है एफआईआर नहीं हो सकती।",hi,"anger,fear,help_seeking"
"हम गरीब लोगन का कुआँ बंद कर दिया है, दबंग बोलते हैं पानी नहीं मिलेगा, प्यास से मरना पड़े तो देखा।",hi,"hopelessness,intimidation,fear"
थाने में जाकर शिकायत लिखवाई तो कागज़ फाड़कर कह दिया कि पीड़ित को सौंभर लेना।,hi,"anger,hopelessness"
"बाबूजी, मेरी बेटी की शादी में जातिसूचक गालियाँ दी गईं, अब घर से बाहर निकलने की हिम्मत नहीं है।",hi,"fear,sadness,intimidation"
"खलिहान में हानर कटवा रहे थे तभी ट्रैक्टर आकर बीच रास्ते आकर खड़ा कर दिया, डर के मारे काम छोड़कर भाग आए।",hi,"fear,panic"
"महिलाओं को बेइज्जत करते हुए देखा है, काँप-काँप कर रहते हैं, कोई न्याय नहीं मिलता।",hi,"sadness,fear,help_seeking"
दबंगों ने धमकी दी है कि अगर पुलिस में शिकायत की तो पूरे परिवार की हत्या कर देंगे।,hi,"fear,intimidation,immediate_danger"
"हमारे टोले की सड़क पर केरलिन डाल दी है, निकलने पर लाठियाँ चला दी जाएँगी, यह हमारी रोज़ी-रोटी का रास्ता है।",hi,"fear,intimidation,anger"
"बाबू जी, थानेदार का टाटा करके कुछ सुलझता नहीं है, हम गरीबों की आवाज़ कौन सुनेगा?",hi,"hopelessness,sadness,help_seeking"
"रात को खिड़की से झाँकते हुए देखे हैं, कई बार जूते फेंकते हैं, डर से नींद नहीं आती।",hi,"fear,intimidation"
"हमारे खेत की फसल रात में ऐप बर्बाद कर दी, पीछे से करंडा पत्थरों की बारिश की।",hi,"anger,fear"
"दरोगा साहब ने कहा है कि दोबारा अदालत में जाकर रिपोर्ट दिलाओ, वयाँ तक की ढाई साल हो गए।",hi,"hopelessness,anger"
"हमारे बड़े भाई को चोरी की गोलबारी में पकड़ाकर मारा गया, अब पूरा परिवार डरता है।",hi,"fear,panic,sadness"
"बाबूजी, हमारे टोले में सामाजिक बहिष्कार है, किसी को खाना नहीं देते, थाने में जाकर थूकते हैं।",hi,"sadness,fear,intimidation"
"आज दोपहर को जमीन से बाहर निकलने पर कहा कि फिर बार नहीं आना, वरना खून बहाएँगे।",hi,"intimidation,fear,immediate_danger"
"बाबू जी, पुलिस वालों ने मेरी एफआईआर के बाद मुझे फसल की कटाई से रोक दिया, खुद कह रहे हैं कि यहाँ से भाग जाओ, वरना जान से मार देंगे।",hi,"fear,intimidation,help_seeking"
"सर, अंधेरा घना पड़ रहा है और वो 5-6 लोग डंडे लेकर खलिहान के पास आए हैं, हम अंदर बंद हैं। कम से कम 2 मिनट में पुलिस अफसर बाहर आना, वरना खून की आहट उठी।",hinglish,"immediate_danger,panic,fear"
"Thanedhar sir, आपकी गलती है हमारी। FIR दर्ज करने से मना कर रहे हैं और कह रहे हैं कि जाति से लेकर गली-गलौज होने पर भी यह मामला छोटा है। हमें न्याय चाहिए, वरना आज ही से हड़ताल करेंगे।",hinglish,"anger,help_seeking"
"गाँव के दुकानदार और पक्का पानी वाले हैंडपंप की चाबी फिर छुपा रहे हैं। प्यासे होकर पानी पीने गईं, रिश्तेदारों ने भी बहिष्कार किया। अब हमारे बच्चे बीमार हैं और कोई दवा भी नहीं मिल रही।",hinglish,"hopelessness,sadness,fear"
"रिपोर्ट लिखाने के लिए मेडिकल कॉलेज भेजा है, लेकिन वहाँ के डॉक्टर कह रहे हैं कि जब तक परिजन 5000 रुपये नहीं देंगे, रिपोर्ट नहीं लिखेंगे। हाथ टूटा है और खून बह रहा है। कृपया अभी कोई सरकारी डॉक्टर भेजें।",hinglish,"fear,help_seeking,panic"
"हमारी पत्नी को बारbershop में घुसने से मना किया गया, फिर उसने लात-घूसा मारा। अब हमारा पूरा परिवार घर से बाहर नहीं निकल पा रहा है। डर लग रहा है कि कल को हमारे घर में आग लगा दी जाए।",hinglish,"fear,intimidation,sadness"
"DSP sir, आप पिछले 3 दिनों से थाने में ही बैठे हैं, पर हमारी गली में ही एक बार नहीं आए। मौका पर जाकर शिकायत दर्ज करने से मना कर रहे हैं। क्या हमारे खून का आधा दाम नहीं है?",hinglish,"anger,fear"
हमारा बेटा स्कूल से वापस आकर रो रहा है क्योंकि उसके स्कूल के दोस्तों ने उसे सामाजिक बहिष्कार दे दिया है। अब वो स्कूल नहीं जाना चाहता। इससे बुरा क्या हो सकता है सर?,hinglish,"sadness,hopelessness,fear"
जाति पूछकर हमारी जमीन पर पत्थरबाजी की गई। अब हम आने-जाने से डर रहे हैं। रात को भी राहों पर नहीं जा सकेंगे। सुरक्षा डालना चाहिए।,hinglish,"fear,intimidation,panic"
"हमारा पति मारा गया है। पुलिस ने शव को पोस्टमॉर्टम के लिए नहीं भेजा, सीधे घर लौटा दिया। यह किस कानून के तहत हो रहा है? हमें न्याय चाहिए।",hinglish,"sadness,anger,help_seeking"
"अब तो हमारा पूरा परिवार गाँव छोड़कर फंगा हुआ है। किराए का मकान नहीं मिल रहा, नौकरी नहीं मिल रही। सरकार क्या सो रही है? हमारा पेट कैसे भरना है?",hinglish,"hopelessness,sadness,anger"
"हमारी जमीन पर जबरन बिल्डिंग खड़ी कर दी गई है। जब हमने रोकी, तो बीट में ले जाकर मारपीट की गई। अब हम डर के मारे बाहर नहीं जा रहे हैं।",hinglish,"fear,anger,immediate_danger"
हमारी बेटी की शादी के तंदाव में जाति सवाल पूछकर उन्हें नफरत भरी भाषा में जान से मारने की धमकी दी गई। अब वो डर के मारे रूक गई है।,hinglish,"fear,intimidation,sadness"
"हमने FIR दर्ज करवाई थी, लेकिन अब हमारे परिवार के बुजुर्गों के खिलाफ गलत FIR दर्ज करनी की धमकी दी जा रही है। हम बेजुबान हैं।",hinglish,"fear,help_seeking,panic"
हमारा गाँव अब पूरी तरह अंधेरा है क्योंकि मुख्य रोशनी के cable काट दिए गए हैं। चारों तरफ डरावना माहौल है। बच्चे रात में नहीं खेल पा रहे हैं।,hinglish,"fear,sadness,help_seeking"
हमारी कॉलमी में पानी नहीं आ रहा है क्योंकि नल का धमाका कर दिया गया है। अब हमें पानी के लिए 5 किमी दूर जाना पड़ रहा है। गायों को भी पिलाना मुश्किल हो गया है।,hinglish,"sadness,anger,help_seeking"
"हमारे खिलाफ झूठी FIR दर्ज करवाकर हमारी जेल में डालने की कोशिश हो रही है। हमारे पास पासपोर्ट कार्ड और रिपोर्ट है, पर पुलिस सुन नहीं रही।",hinglish,"fear,anger,help_seeking"
"पट्टे की जमीन पर अवैध कब्ज़ा करने वाले ने आज खेत में आए, कुदायें जलाईं और कहा कि थानेदार के दबदबे से कोई एफआईआर नहीं करवा पाएगा।",hi,"fear,anger,intimidation"
"गाँव के पंचायत में बैठकर हमें जातिसूचक शब्दों से गाली दी, सामाजिक बहिष्कार का दबाव बनाया।",hi,"sadness,anger,help_seeking"
"थानेदार ने शिकायत का कागज़ फाँड़ दिया और हमें म़ज़बूरन मध्यस्थता के लिए कहा, वरना मुकदमा नहीं दर्ज होगा।",hi,"hopelessness,anger,fear"
हैंडपंप का पानी पीने जाते समय दबंगों ने धमकी दी कि हमारी जाति के लोग यहाँ पानी नहीं पी सकते।,hi,"intimidation,fear,immediate_danger"
"चौपाल में बैठे बुज़ुर्ग को बेइज़्जत करके उन्हें नंगे पाँव घर भेज दिया गया, कोई पुलिसकर्मी रेस्यू करने नहीं आया।",hi,"sadness,anger,help_seeking"
"आपसे गुहार लगाते हैं, कृपया हमारी पट्टीदार जमीन पर ड्रोन या सैनिक फोर्स भेजें, वरना हमारे माँगे खेतों में आग लगा देंगे।",hi,"panic,immediate_danger,help_seeking"
"DSP साहब तीन दिन से भेजे जा रहे हैं, लेकिन अब तक थाने नहीं आए, शिकायत पर कोई कार्रवाई नहीं हो रही।",hi,"hopelessness,anger"
"हमारी लड़की को स्कूल के रास्ते पर जातिसूचक गालियाँ दी गईं, शिक्षकों ने इसे नज़रअंदाज कर दिया।",hi,"sadness,fear,help_seeking"
"दूकानदार ने हमें सामान नहीं दिया, कहा कि हमारी जाति के लोगों की बैठक आज नहीं चलेगी।",hi,"sadness,anger"
"थाने में दर्ज एफआईआर में आरोपियों के नाम हटा दिए गए, वरना मुकदमा वापस ले लो, यही कह रहे हैं।",hi,"intimidation,fear,anger"
"हमारे पुश्तैनी कुएँ पर दूसरे जाति के लोगों ने अवैध रूप से कब्ज़ा कर लिया है, पानी पीने से रोक रहे हैं।",hi,"anger,fear,help_seeking"
"खलिहान में दाना हराते समय ट्रैक्टर रोका गया, ड्राइवर को मारा गया और गाड़ी तोड़ी गई।",hi,"fear,anger,immediate_danger"
"रात के समय घर के आसपास आवाज़ें आ रही हैं, लगता है डराने के लिए लोगों को भेजा गया है, बीमारी है।",hi,"fear,panic,intimidation"
"पंचायत की बैठक में हमें बैठने की जगह नहीं दी गई, जाति के नाम पर तुच्छता से पत्थर मारे गए।",hi,"sadness,anger,help_seeking"
"केस नंबर 125 का स्टेटस क्या है? FIR दर्ज हुए चार महीने हो गए, लेकिन कोई आरोपी गिरफ्तार नहीं हुआ।",hi,others
"मानवीय अधिकारों की हानि हुई, पूरा गाँव हमें बहिष्कार में रहा, थानेदार ने पैसा लेकर मामला बंद करने की कोशिश की।",hi,"hopelessness,anger,fear"
"सर, पिछले तीन साल से हमारी आदिवासी बस्ती में रास्ता नहीं बना, बारिश में पत्थर से चलना पड़ता है।",hi,others
"वन विभाग के दफ्तर में मेरा पट्टा नंबर 102 का कागज़ गायब कर दिया गया है, जमीन लौटा दो।",hi,others
"मैं तहसीलदार से मिलना चाहता हूँ, पिछली फाइल का नंबर 4567 है, उसमें कोई जवाब नहीं आया।",hi,others
"सरपंच ने हमें जंगल में लकड़ी काटने की छूट नहीं दी, अब खाने को कुछ नहीं है।",hi,"sadness,hopelessness"
"पिछले महीने की मजदूरी अभी तक नहीं मिली, ठेकेदार ने फोन बंद कर दिया है।",hi,others
